stationcode,comid,masterid
111PS0178,2703063,111PS0178
113PS0100,2664095,113PS0100
505PS0110,7960911,505PS0110
505PS0174,7950742,505PS0174
108PS0197,8315639,108PS0197
113PS0196,2662251,113PS0196
513PS0200,8005871,513PS0200
524PS0202,2782657,524PS0202
526PS0356,7925595,526PS0356
526PS0396,7928593,526PS0396
526PS0440,7929585,526PS0440
526PS0504,7930047,526PS0504
527PS0388,7918127,527PS0388
628PS0527,22660107,628PS0527
504PS0083,12068806,504PS0083
508PS0042,2494768,508CCMPRx
513PS0008,8009249,513PS0008
513PS0024,8007663,513PS0024
514PS0084,15022243,514PS0084
526PS1496,7927647,526PS1496
552PS0028,22050603,552PS0028
628PS1483,22655495,628PS1483
722PS0535,22595319,722PS0535
904PS0034,20341975,904PS0034
403BA0015,17568137,403BA0015
403BA0027,17567373,403BA0027
405PS0036,22522825,405PS0036
SMC44602,17585714,SMC44602
SMC00469,20348759,901S00469
412M10277,22515806,412M10277
SMC00464,22524649,SMC00464
SMC00476,22515784,SMC00476
SMC00473,20329176,SMC00473
408BA0036,17564924,408BA0036
513PS0088,8009071,513PS0088
603PS1056,20267009,603PS1056
SMC00997,20350837,901S00997
SMC00537,20342631,904S00537
SMC00538,20325133,911S00538
SMC00480,22524653,SMC00480
Sentinel8,14969153,Sentinel8_nomatch
SMC01004,22515822,SMC01004
SMC01040,22514424,SMC01040
R5BIO-320,17568111,403LNCASC
507PS0122,948020790,507PS0122
507PS0142,2763444,507PS0142
509PS0170,8021340,509PS0170
517PS0132,8060985,517PS0132
520PS0135,1678663,520PS0135
520PS0199,1680009,520PS0199
539PS0146,17100303,539PS0146
SMC01046,20331476,SMC01046
SMC01049,20341897,SMC01049
403BA0068,17574729,403BA0068
SMC00064,17572253,403S00064
404BA0084,20365103,404BA0084
SMC00565,22548469,902S00565
SMC00577,20329834,907S00577
405S00544,22523163,SMC00544
SMC00080,22514376,SMC00080
SMC00105,22561260,SMC00105
Whitewater River4,22590983,Whitewater River4_nomatch
SGLR00096,22523173,SMC16610
SMC00640,17569783,403S00640
404BA0616,20364691,404BA0616
408BA0580,17562558,408BA0580
408BA0660,17563970,408BA0660
526PS0072,7930381,526PS0072
603PS0557,20267687,603PS0557
626PS0619,22683392,626PS0619
722PS0611,22597605,722PS0611
405S00608,22524713,SMC00608
903S00665,20341709,SMC00665
628PS0715,22655435,628PS0715
R5BIO-6494,20348207,901ATCTCx
R5BIO-6496,20348717,901SJSMT2
R5BIO-6488,22548453,902SCSCRx
R5BIO-6490,20332676,909CCCSPx
R5BIO-6482,20325113,911KCKCRX_archived
R5BIO-6486,20324989,911NCPCRx
R5BIO-6478,20325295,911TJLAP4
R5BIO-6484,20325141,SMC31725
R5BIO-6480,20351601,SMC44417
R5BIO-324,8190141,308PWCAH1
R5BIO-326,8203489,309WLCATC
R5BIO-321,17637988,312RYCALR
R5BIO-323,17585756,402MTCUNF
R5BIO-322,17569207,403PRCAGH_archived
SCSC2,948070358,SCSC2_nomatch
SCSF1,17570463,SCSF1_nomatch
SCFC1,17569729,SMC35686
R5BIO-330,22047739,R5BIO-330
R5BIO-331,17099787,R5BIO-331_nomatch
SCPR1,17569203,SCPR1_nomatch
Refugio2,17593439,Refugio2_nomatch
SCSL1,17573647,SCSL1_nomatch
SCSP1,17567911,SCSP1_nomatch
SCSP2,17574345,SCSP2_nomatch
SDBC1,20355520,SDBC1_nomatch
SDBG1,20355554,SDBG1_nomatch
REF-DC,20343105,SMC08965
REF-DLC,22548391,REF-DLC_nomatch
REF-SC,22548429,REF-SC_nomatch
REF-TCAS,20348207,REF-TCAS
Refugio1,17593393,SMC09443
113PS0120,2664653,113PS0120
523PS0222,7986099,523PS0222
902S00117,22548535,902S00117
SJC529,1909498,SJC529_nomatch
SJMO1,20348277,SJMO1_nomatch
Tecolote2,17595323,Tecolote2_nomatch
REF-WC,20325287,REF-WC_nomatch
S_CARLISLE,20364849,S_CARLISLE_nomatch
SGUT505,22524699,SGUT505
VENTURA7,17587606,VENTURA7_nomatch
403BA0140,17574991,403BA0140
SMC00135,22558972,801S00135
SJSJ5,20348471,901SJMS1x
SJOF1,20348331,901SJOF1x
SLGD1,20341577,903GIR2xx
SW4,20277761,SW4_nomatch
SJSJ2,20350533,SJSJ2_nomatch
SJTC1,20350681,SJTC1_nomatch
SJTC2,20348205,SJTC2_nomatch
SLIR1,20343071,SMC_SLIR1
403BA0171,17567767,403BA0171
404BA0142,20365145,404BA0142
TJPC2,20325007,911TJPC2x
TJPC3,20325019,911TJPVC1
Thing1,20325085,Thing1_nomatch
SGLR00190,22521017,SMC00190
Unnamed1,22602157,Unnamed1_nomatch
Unnamed2,20326337,Unnamed2_nomatch
USJ,20348351,USJ_nomatch
USLR1,20343025,USLR1_nomatch
SMC00153,20342539,SMC00153
