stationcode,sampledate,result,masterid,latitude,longitude,huc,county,smcshed
903M20177,2017-05-03T07:00:00Z,1.0538410184173654,903M20177,33.39672,-117.11527,903,San Diego,Northern San Diego
903M20208,2017-06-12T07:00:00Z,0.5696049344318032,903M20208,33.32691,-117.12282,903,San Diego,Northern San Diego
903M20213,2017-06-12T07:00:00Z,0.43855696596853394,903M20213,33.30566,-117.13364,903,San Diego,Northern San Diego
905PS0026,2017-05-04T07:00:00Z,0.44938410598024103,905PS0026,33.10697,-116.86545,905,San Diego,Central San Diego
906M21758,2017-05-11T07:00:00Z,0.5919077995379017,906M21758,32.94264,-117.10754,906,San Diego,Central San Diego
114CR0903,2013-08-26T07:00:00Z,0.9373118813684407,114CR0903,38.81627,-123.01119,114,Sonoma,SMC_out
114CR0903,2013-09-25T07:00:00Z,0.905658812509742,114CR0903,38.81627,-123.01119,114,Sonoma,SMC_out
110FCA102,2013-07-25T07:00:00Z,0.7973661848342766,110FCA102,40.72528,-124.11528,110,Humboldt,SMC_out
510CR1007,2013-06-03T07:00:00Z,0.47189222849921314,510CR1007,38.43501,-121.52491,510,Sacramento,SMC_out
520CR1010,2013-07-15T07:00:00Z,0.748579311250929,520CR1010,39.50076,-121.99763,520,Glenn,SMC_out
508CR1011,2013-07-16T07:00:00Z,0.7745414413467625,508CR1011,40.47343,-122.30323,508,Shasta,SMC_out
544CR1003,2013-06-04T07:00:00Z,0.34878320833932797,544CR1003,37.90976,-121.3253,544,San Joaquin,SMC_out
509ICPPCX,2008-07-30T07:00:00Z,0.828017294631509,509ICPPCX,40.23333,-121.87889,509,Tehama,SMC_out
404R4S070,2016-05-04T07:00:00Z,1.1573225648553311,404R4S070,34.042,-118.89747,404,Los Angeles,Santa Monica Bay
403FCA022,2013-05-29T07:00:00Z,0.37472399836741227,403FCA022,34.35671,-119.01988,403,Ventura,Santa Clara
105FCA116,2013-07-16T07:00:00Z,1.0750909764470038,105FCA116,41.31833,-123.04833000000001,105,Siskiyou,SMC_out
103FCA168,2013-07-24T07:00:00Z,0.7289785129474985,103FCA168,41.65021,-124.09143,103,Del Norte,SMC_out
602FC1102,2014-07-08T07:00:00Z,0.8973470902959001,602FC1102,37.89015,-118.71545,602,Mono,SMC_out
