stationcode,sampledate,csci,comid,masterid
106WE0505,2000-09-14T07:00:00Z,1.02906546,8245608,106WE0505
106WE0505,2000-09-14T07:00:00Z,1.12059489,8245608,106WE0505
106WE0505,2000-09-14T07:00:00Z,0.82570602,8245608,106WE0505
106WE0505,2001-10-04T07:00:00Z,1.21751847,8245608,106WE0505
106WE0505,2001-10-04T07:00:00Z,1.16937446,8245608,106WE0505
106WE0505,2001-10-04T07:00:00Z,1.07251712,8245608,106WE0505
106WE0574,2000-08-15T07:00:00Z,1.10002811,8242492,106WE0574
106WE0574,2000-08-15T07:00:00Z,1.15767916,8242492,106WE0574
106WE0574,2000-08-15T07:00:00Z,1.14076192,8242492,106WE0574
106WE0580,2000-08-30T07:00:00Z,0.86916816,8244304,106WE0580
106WE0581,2001-07-26T07:00:00Z,0.5301768,8236312,106WE0581
106WE0587,2000-08-16T07:00:00Z,1.03203276,8232508,106WE0587
106WE0587,2000-08-16T07:00:00Z,1.01879235,8232508,106WE0587
106WE0587,2000-08-16T07:00:00Z,1.06424732,8232508,106WE0587
106WE0593,2001-08-28T07:00:00Z,0.96170738,8243996,106WE0593
106WE0593,2001-08-28T07:00:00Z,1.2184366,8243996,106WE0593
106WE0593,2001-08-28T07:00:00Z,1.08336349,8243996,106WE0593
106WE0768,2001-07-25T07:00:00Z,1.02480874,8246006,106WE0768
106WE0768,2001-07-25T07:00:00Z,1.00135853,8246006,106WE0768
106WE0768,2001-07-25T07:00:00Z,1.02968803,8246006,106WE0768
106WE0812,2001-07-12T07:00:00Z,1.06980629,8245846,106WE0812
106WE0812,2001-07-12T07:00:00Z,0.88719447,8245846,106WE0812
106WE0812,2001-07-12T07:00:00Z,1.01077064,8245846,106WE0812
106WE0824,2001-07-24T07:00:00Z,1.09164068,8242088,106WE0824
106WE0824,2001-07-24T07:00:00Z,0.84088436,8242088,106WE0824
106WE0824,2001-07-24T07:00:00Z,0.94398066,8242088,106WE0824
106WE0831,2001-07-11T07:00:00Z,1.13096491,8232248,106WE0831
106WE0831,2001-07-11T07:00:00Z,1.17193352,8232248,106WE0831
106WE0831,2001-07-11T07:00:00Z,1.18007129,8232248,106WE0831
106WE0843,2001-10-03T07:00:00Z,1.13198598,8248430,106WE0843
106WE0843,2001-10-03T07:00:00Z,1.18893067,8248430,106WE0843
106WE0843,2001-10-03T07:00:00Z,1.16583924,8248430,106WE0843
106WE1055,2002-07-11T07:00:00Z,1.05754176,8243780,106WE1055
106WE1055,2002-07-11T07:00:00Z,1.09281893,8243780,106WE1055
106WE1055,2015-07-20T07:00:00Z,1.14123386,8243780,106WE1055
106WE1062,2002-09-12T07:00:00Z,1.13486557,8245974,106WE1062
106WE1062,2002-09-12T07:00:00Z,1.09641363,8245974,106WE1062
106WE1066,2002-07-17T07:00:00Z,1.10808382,8240980,106WE1066
106WE1066,2002-07-17T07:00:00Z,0.98512115,8240980,106WE1066
106WE1079,2002-07-09T07:00:00Z,1.00298095,8242250,106WE1079
106WE1079,2002-07-09T07:00:00Z,1.06312042,8242250,106WE1079
106WE1079,2012-08-08T07:00:00Z,1.12250215,8242250,106WE1079
106WE1080,2002-05-18T07:00:00Z,0.90607682,8234712,106WE1080
106WER011,2013-09-11T07:00:00Z,1.07517424,8243440,106WER011
106WER011,2018-09-19T07:00:00Z,1.13851354,8243440,106WER011
106WER011,2003-09-25T07:00:00Z,1.17893768,8243440,106WER011
106WER011,2003-09-25T07:00:00Z,1.18458212,8243440,106WER011
106WER012,2003-09-17T07:00:00Z,1.05625129,8235160,106WER012
106WER012,2003-09-17T07:00:00Z,1.05373775,8235160,106WER012
106WER014,2003-09-18T07:00:00Z,1.2022864,8236316,106WER014
106WER014,2003-09-18T07:00:00Z,1.19877523,8236316,106WER014
106WER016,2009-05-18T07:00:00Z,0.87068804,8234604,106WER016
106WER016,2017-06-19T07:00:00Z,1.16881335,8234604,106WER016
106WER016,2009-06-22T07:00:00Z,0.97283261,8234604,106WER016
106WER016,2016-07-05T07:00:00Z,1.15487525,8234604,106WER016
106WER016,2015-07-09T07:00:00Z,1.12314818,8234604,106WER016
106WER016,2009-08-04T07:00:00Z,0.87653549,8234604,106WER016
541SS1xxx,2011-06-17T07:00:00Z,0.43785833,19777307,541SS1xxx
541SS1xxx,2006-07-18T07:00:00Z,0.58917021,19777307,541SS1xxx
541SS2xxx,2009-04-23T07:00:00Z,0.49395017,948040357,541SS2xxx
541SS2xxx,2012-04-27T07:00:00Z,0.29153341,948040357,541SS2xxx
541SS2xxx,2008-05-08T07:00:00Z,0.2998682,948040357,541SS2xxx
541SS2xxx,2002-05-12T07:00:00Z,0.47608469,948040357,541SS2xxx
106WER016,2018-08-06T07:00:00Z,1.13089126,8234604,106WER016
106WER016,2003-09-16T07:00:00Z,1.11923046,8234604,106WER016
