SiteTag,SampleDate,Metric1_TRC,Metric2_VCS,Metric3_VCQ,Metric4_AGNR,Metric5_RVW,Metric6_RSCVC,Metric7_MHPR,Metric81_hymod,Metric_82_hymod,Metric8_final,Idx_Score,D_lat,D_long
304RRBLD8,6/19/17,100,100,100,100,62.5,100,75,100,100,100,92.19,37.145916,-122.1576387
304RRBLD9,6/19/17,100,100,100,100,75,100,75,100,100,100,93.75,37.13827828,-122.1436522
304RRFC1,7/13/18,100,100,100,75,100,100,75,100,100,100,93.75,37.051276,-122.084864
304RRFC2,3/7/18,75,100,25,75,25,75,100,100,100,100,71.88,37.057770,-122.079341
304RRKC1,6/5/18,100,100,75,75,50,75,100,100,100,100,84.38,37.193550,-122.124820
304RRKC2,6/5/18,100,100,75,75,50,87.5,75,75,100,87.5,81.25,37.188500,-122.125100
304RRKC3,6/5/18,100,100,50,50,75,100,75,100,100,100,81.25,37.184260,-122.123360
304RRKC4,6/5/18,100,100,75,75,62.5,100,75,100,100,100,85.94,37.177230,-122.119340
304RRKC5,6/5/18,100,100,100,50,75,100,75,100,100,100,87.5,37.159710,-122.126694
304RRKC6,6/22/18,75,100,75,75,50,62.5,75,50,75,62.5,71.88,37.156336,-122.133776
304RRKC7,6/22/18,0,75,75,50,25,37.5,75,0,62.5,31.25,46.09,37.155064,-122.132496
304RRLC1,6/20/18,75,100,100,75,50,62.5,75,100,87.5,93.75,78.91,37.121927,-122.085516
304RRLC2,6/20/18,100,100,25,50,75,100,100,100,100,100,81.25,37.111361,-122.090062
304RRLC3,6/20/18,100,100,25,75,75,100,75,100,75,87.5,79.69,37.107530,-122.086280
304RRLC4,6/20/18,25,100,75,50,50,50,75,100,50,75,62.5,37.101906,-122.085852
304RRLC5,6/20/18,75,100,75,50,50,75,75,100,87.5,93.75,74.22,37.099101,-122.086424
304RRLC6,6/20/18,75,100,25,75,75,75,75,100,75,87.5,73.44,37.094457,-122.086398
304RRLC7,6/20/18,75,100,0,0,25,12.5,75,0,25,12.5,37.5,37.088778,-122.088171
