stationcode,sampledate,asci,comid,masterid
801SNP002,2014-06-18T07:00:00Z,1.1966597597321178,22554666,801SNP002
536SPILJW,2015-09-09T07:00:00Z,1.0503959059795294,17081499,536SPILJW
509SPIJD3,2015-09-02T07:00:00Z,1.0437509274577481,8021334,509SPIJD3
509SPIJD4,2015-09-02T07:00:00Z,1.0953980703929682,8021334,509SPIJD4
514PCASMR,2015-09-03T07:00:00Z,1.017828459025981,14997609,514PCASMR
514PCAPC2,2015-09-03T07:00:00Z,1.1371548088205523,14997893,514PCAPC2
507RCBLPF,2015-09-01T07:00:00Z,0.7156564608900592,2765992,507RCBLPF
507RCABRS,2015-09-01T07:00:00Z,0.7312361500438207,2766672,507RCABRS
533SPILSA,2015-09-10T07:00:00Z,0.8222319641245739,17066288,533SPILSA
533SPIUSA,2015-09-10T07:00:00Z,0.8378099293357663,17066106,533SPIUSA
507DCABSF,2016-10-04T07:00:00Z,0.9727336773208792,2766674,507DCABSF
507DCBLLB,2016-10-03T07:00:00Z,1.0435080710109554,2766676,507DCBLLB
536SPIUJW,2016-10-06T07:00:00Z,0.925651720354597,17081327,536SPIUJW
536SPILJW,2016-10-06T07:00:00Z,1.0140981832011584,17081499,536SPILJW
